Ville;Type;Adresse;Commentaire
Cuesmes;Monument aux morts;"Place de Cuesmes
7033 Cuesmes";Monument Pierre-Joseph DELSAUT
Cuesmes;Monument;"Rue de Frameries
Cimetière de Cuesmes
7033 Cuesmes";Cuesmes A Ses Morts
Flénu;Statue;"Avenue du Champ de Bataille
7000 Flénu";Mineur
Flénu;Monument aux morts;"Rue de Quaregnon
7012 Flénu";
Flénu;Monument;"Rue de Quaregnon
7012 Flénu";A nos Combattants 14-18
Ghlin;Plaque commémorative;"Rue Augustin Brohée
7011 Ghlin";Charles Plisnier
Ghlin;Stèle;"Rue de Mons
7011 Ghlin";Croix du Curé
Ghlin;Stèle;"Rue de Tournai
7011 Ghlin";Aux Victimes du 16 Janvier 1919
Harmignies;Stèle;"Chaussée de Beaumont
7022 Harmignies";14-18 Harmignies A ses Enfants
Havré;Monument;"Chaussée du Roeulx
7021 Havré";A Nos Morts Glorieux 14-18
Jemappes;Monument;"Rue de l'Argilière
Cimetière de Jemappes
7012 Jemappes";Victimes Barbarie Nazie Morts au Combat
Jemappes;Monument;"Rue du Couvent
7012 Jemappes";Aux Soldats de Jemappes 1914 1918
Jemappes;Monument;"Place de Jéricho
7012 Jemappes";Arbre du Souvenir
Maisières;Monument;"Rue Grande
7020 Maisières";SHAPE Aux Volontaires de Guerre
Mesvin;Monument aux morts;"Rue Ottelet
7022 Mesvin";
Mesvin;Monument aux morts;"Voie Américaine
7022 Mesvin";
Mons;Obélisque;"Place du Chapitre
7000 Mons";
Mons;Plaque commémorative;"22 Grand place
7000 Mons";Lanciers Irlandais
Mons;Plaque commémorative;"22 Grand place
7000 Mons";Patrice Emery Lumumba
Mons;Monument;"22 Grand place
7000 Mons";Henri Sainctelette
Mons;Plaque commémorative;"16 Rampe Sainte Waudru
Mons";A André Thomas
Mons;Monument aux morts;"Boulevard Dolez
7000 Mons";
Mons;Oeuvre Publique;"Place Saint Germain
7000 Mons";Spread Your Wings
Mons;Plaque commémorative;"Rue Marguerite Bervoets
7000 Mons";Danton
Mons;Plaque commémorative;"Grand-Place
7000 Mons";O.M.B.R.
Mons;Monument;"Rampe du Château
7000 Mons";Buste Charles Plisnier
Mons;Plaque commémorative;"Rue des Droits de l'Homme
7000 Mons";Lieutenant John Steinwedel
Mons;Monument aux morts;"Rue des Barbelés
7000 Mons";
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Femme sans bras ni tête
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";George Garnir
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Arbre de la Paix
Obourg;Monument aux morts;"80 Rue des Ecoles
7034 Obourg";
Obourg;Monument aux morts;"Rue desBruyères
7034 Obourg";
Obourg;Monument;"Place de Saint-Denis
7034 Saint-Denis";St-Denis A ses Héros Militaires et Civils
Obourg;Monument aux morts;"Rue des Fabriques
7034 Obourg";
Obourg;Monument;"80 Rue des Ecoles
7034 Obourg";A Nos héros 14-18 40-45
