Geo Point;Geo Shape;id;Année de pose;Localité;Adresse;Quantité;Type;Précisions
50.4501319117,3.94691554952;"{""type"": ""Point"", ""coordinates"": [3.946915549519418, 50.45013191167306]}";7;2015;MONS;Ilôt CPAS-  Rue de Bouzanton;3.0;Arceau en U;
50.4521702506,3.95718772365;"{""type"": ""Point"", ""coordinates"": [3.957187723651265, 50.45217025062906]}";15;2015;MONS;Onem;3.0;Arceau en U;Entrée de l'école
50.453198628,3.96384551766;"{""type"": ""Point"", ""coordinates"": [3.963845517658076, 50.453198628036915]}";17;2015;MONS;Waux-Hall;5.0;Arceau en U;
50.4553126941,3.95942019096;"{""type"": ""Point"", ""coordinates"": [3.959420190959054, 50.45531269407701]}";27;2018;MONS;Rue du Gouverment;3.0;Arceau en U;Maison Folie
50.4545105647,3.92523806954;"{""type"": ""Point"", ""coordinates"": [3.925238069537245, 50.4545105647049]}";57;2018;MONS;Quai des Otages;3.0;Arceau en U;
50.4628424085,3.96364144218;"{""type"": ""Point"", ""coordinates"": [3.963641442182212, 50.4628424084957]}";62;2019;MONS;Avenue du Tir;3.0;Arceau en U;IFAPME
50.4444951321,3.94753432298;"{""type"": ""Point"", ""coordinates"": [3.947534322978664, 50.4444951320692]}";63;2019;MONS;Avenue de Gaulle/Digue des Peupliers;2.0;Arceau en U;Proximité école N-D de Messines
50.4583787951,3.95569885033;"{""type"": ""Point"", ""coordinates"": [3.955698850329879, 50.45837879507824]}";68;2019;MONS;Rue de Nimy;3.0;Arceau en U;Ecole du Rossignol
50.4370360156,3.92610297048;"{""type"": ""Point"", ""coordinates"": [3.926102970482622, 50.437036015644686]}";73;2019;CUESMES;Place de Cuesmes;3.0;Arceau en U;
50.4515726574,3.88453590529;"{""type"": ""Point"", ""coordinates"": [3.884535905294919, 50.451572657379344]}";87;2019;JEMAPPES;Place de Jéricho;2.0;Arceau en U;
50.4382095823,4.00732689499;"{""type"": ""Point"", ""coordinates"": [4.007326894989904, 50.438209582270694]}";53;2018;SAINT-SYMPHORIEN;Place de Saint-Symphorien;3.0;Arceau en U;
50.4519240374,3.9566762071;"{""type"": ""Point"", ""coordinates"": [3.956676207095502, 50.45192403736213]}";31;2018;MONS;Place Spira;2.0;Arceau en U;
50.4568885492,3.95726104287;"{""type"": ""Point"", ""coordinates"": [3.957261042866374, 50.45688854923405]}";24;2018;MONS;Avenue des Droits de l'Homme;2.0;Arceau en U;
50.457368513,3.94822222397;"{""type"": ""Point"", ""coordinates"": [3.948222223965403, 50.45736851296598]}";118;2021;MONS;Rue des Gaillers;4.0;Arceau publicitaire;Musée d'Histoires Naturelles
50.455513832,3.95046569107;"{""type"": ""Point"", ""coordinates"": [3.950465691070314, 50.4555138319511]}";135;;MONS;Rue du Onze Novembre;3.0;Arceau en U;Croisement Rue Tour Oberon
50.4541331647,3.94551628263;"{""type"": ""Point"", ""coordinates"": [3.94551628262981, 50.454133164658785]}";136;;MONS;Square Roosevelt;4.0;Arceau en U;Croisement Rue Claude de Bettignies
50.4581754755,3.95822770599;"{""type"": ""Point"", ""coordinates"": [3.958227705986082, 50.458175475535015]}";139;;MONS;Place Paul Eupgen;2.0;Arceau en U;
50.4503699486,3.95349776296;"{""type"": ""Point"", ""coordinates"": [3.953497762964428, 50.45036994859643]}";4;2015;MONS;Marché aux Poissons;3.0;Arceau en U;Zone striée devant la boulangerie
50.4538227515,3.95199851973;"{""type"": ""Point"", ""coordinates"": [3.951998519732272, 50.453822751505264]}";2;2015;MONS;Grand Place;4.0;Col de cygnes;Entrée piétonnier
50.4487905513,3.95114970808;"{""type"": ""Point"", ""coordinates"": [3.951149708081734, 50.4487905512728]}";12;2015;MONS;Anciens abattoirs;3.0;Arceau en U;
