,Unnamed: 0,Ville,Type,Adresse,Commentaire,coordinate,latitude,longitude
0,0,Cuesmes,Monument aux morts,"Place de Cuesmes
7033 Cuesmes Mons",Monument Pierre-Joseph DELSAUT,"50.4362197, 3.9240673",50.4362197, 3.9240673
2,2,Flénu,Statue,"Avenue du Champ de Bataille
7000 Flénu Mons",Mineur,"50.4395501, 3.8852668",50.4395501, 3.8852668
4,4,Flénu,Monument,"Rue de Quaregnon
7012 Flénu Mons",A nos Combattants 14-18,"50.4739725, 3.9034417",50.4739725, 3.9034417
5,5,Ghlin,Plaque commémorative,"Rue Augustin Brohée
7011 Ghlin Mons",Charles Plisnier,"50.4770676, 3.899465161153588",50.4770676, 3.899465161153588
6,6,Ghlin,Stèle,"Rue de Mons
7011 Ghlin Mons",Croix du Curé,"50.4113043, 4.0081911",50.4113043, 4.0081911
7,7,Ghlin,Stèle,"Rue de Tournai
7011 Ghlin Mons",Aux Victimes du 16 Janvier 1919,"50.4667307, 4.0532322",50.4667307, 4.0532322
8,8,Harmignies,Stèle,"Chaussée de Beaumont
7022 Harmignies Mons",14-18 Harmignies A ses Enfants,"50.4499901, 3.884887",50.4499901, 3.884887
9,9,Havré,Monument,"Chaussée du Roeulx
7021 Havré Mons",A Nos Morts Glorieux 14-18,"50.4511942, 3.8852279",50.4511942, 3.8852279
11,11,Jemappes,Monument,"Rue du Couvent
7012 Jemappes Mons",Aux Soldats de Jemappes 1914 1918,"50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
12,12,Jemappes,Monument,"Place de Jéricho
7012 Jemappes Mons",Arbre du Souvenir,"50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
13,13,Maisières,Monument,"Rue Grande
7020 Maisières Mons",SHAPE Aux Volontaires de Guerre,"50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
17,17,Mons,Plaque commémorative,"22 Grand place
7000 Mons Mons",Lanciers Irlandais,"50.4540941, 3.951955",50.4540941, 3.951955
18,18,Mons,Plaque commémorative,"22 Grand place
7000 Mons Mons",Patrice Emery Lumumba,"50.4540777, 3.9490933",50.4540777, 3.9490933
19,19,Mons,Monument,"22 Grand place
7000 Mons Mons",Henri Sainctelette,"50.4567039, 3.9580414",50.4567039, 3.9580414
20,20,Mons,Plaque commémorative,"16 Rampe Sainte Waudru
Mons Mons",A André Thomas,"50.4907195, 4.0181059",50.4907195, 4.0181059
22,22,Mons,Oeuvre Publique,"Place Saint Germain
7000 Mons Mons",Spread Your Wings,"50.4296873, 4.0399997",50.4296873, 4.0399997
23,23,Mons,Plaque commémorative,"Rue Marguerite Bervoets
7000 Mons Mons",Danton,"50.4192118, 3.943751476866131",50.4192118, 3.943751476866131
