Nom;Adresse;Contact Etablissement - Code postal;Commune;Téléphone 1;Téléphone 2;Fax;Site web;Email;Description
Arsonic;138 Rue de Nimy;7000;Mons;3265395939;;;http://www.mons2015.eu;;À l’angle des rues de Nimy et des Trois Boudins s’érige un espace unique en Wallonie, un lieu de rêves et de créations entièrement dédié au son, que l’on surnomme mystérieusement « la Maison de l’Écoute ». Les architectes Holoffe & Vermeersch, en étroite collaboration avec le chercheur en acoustique Eckhard Kahle, y développent une idée originale de Jean-Paul Dessy, violoncelliste, compositeur, chef et directeur artistique de Musiques Nouvelles, ensemble du manège.mons. ARSONIC nous propose une halte dans la frénésie du quotidien : un havre de paix où reprendre souffle. Aux sirènes de cette ancienne caserne de pompiers ainsi métamorphosée, succèdent les muses enchanteresses des musiciens et des poètes.    Un auditorium de 280 places à jauge variable animera ce port d’attache de l’imagination.       Les concerts et spectacles accueillis à ARSONIC devront composer avec sa configuration très spéciale : petit et grand gradins, balcon discret et écrans de jauge amovibles conçus pour des projections, encadrent la scène et invitent à la créativité. Le public y accèdera directement le soir mais pourra dans la journée promener librement ses oreilles dans le Passage des Rumeurs habité d’expositions et d’installations sonores, ou se recueillir parmi les musiques et les sons choisis de la Chapelle du Silence.    Les enfants, encadrés de professionnels, expérimenteront la Salle d’émerveillement sonore lors d’ateliers-découvertes       Une salle de répétition, une régie technique pour les enregistrements, des loges et des bureaux permanents… et vous aurez saisi l’esprit du bâtiment dans lequel s’installera bientôt les équipes du manège.mons. Les musiques, les mots et les images, toutes époques et tous genres confondus, y seront accueillis comme autant d’invitations à l’écoute de soi et de l’autre.       Bienvenue à ARSONIC !
Grand-Place;Grand Place;7000;Mons;3265335580;;;http://www.visitmons.be;info.tourisme@ville.mons.be;La Grand-Place est le véritable coeur de la ville historique. Chaque année, elle est le théâtre du Combat dit Lumeçon, combat légendaire de Saint-Georges contre le dragon. Elle constitue un panorama exceptionnel d’architecture des XVe s. à nos jours.       Bon à savoir    La façade de l’immeuble dit « au Blan Levrie » est exemplative du soin avec lequel la ville a pu marier l’ancien et le nouveau. Elle abrite aujourd’hui une agence bancaire mais c’est surtout le vestige de l’ancien mur d’enceinte qui, une fois à l’intérieur, retiendra votre attention.
Musée du Doudou;Jardin du Mayeur;7000;Mons;3265405318;;;http://www.museedudoudou.mons.be;polemuseal@ville.mons.be;L’actualité n’est pas à la fête, c’est un fait. Nous voilà contraints de fermer les portes de nos musées et expositions, parfois même avant qu’elles n’aient eu le temps d’ouvrir.    Mais la sécurité de tous reste bien entendu notre priorité. Nous gardons donc portes closes pour quelques temps. Vous pourrez compter sur notre équipe pour ponctuer vos journées de couleur, d'anecdotes, d'activités créatives... et continuer à vous offrir de belles expériences culturelles.   Toutes nos pensées vont bien entendu au personnel médical, ainsi qu’à toutes les personnes impactées de près ou de loin par cette crise sanitaire.    Pour toutes les demandes de remboursement, nous vous invitons à contacter visitMons via info.tourisme@ville.mons.be    Prenez soin de vous, et des autres.   A très bientôt !   Toute l'équipe Culture et Tourisme de la Ville de Mons     Un musée dédié à la Ducasse rituelle, à Saint-Georges et au dragon au coeur de la cité historique montoise. Découvrez la Ducasse rituelle de Mons toute l'année! Par le biais d'objets issus des collections des musées de la Ville de Mons et de dispositifs technologiques, l'espace vous invite à la découverte de la Ducasse de Mons, reconnue par l'UNESCO en 2005. Une découverte entre réalité et imaginaire! L'espace met en valeur ce patrimoine exceptionnel à travers différents regards: historique, anthropologique, scientifique, artistique, laïc ou religieux. De l'originalité de la Ducasse de Mons à la légende de saint Georges, le musée s'attache à comprendre et à valoriser les différents aspects de cette histoire universelle et multiséculaire. Un parcours permet aux visiteurs de comprendre et d'interpréter ce patrimoine immatériel exceptionnel. Les différents espaces d'exposition sont structurés autour d'un fil conducteur principal: Saint Georges et le Dragon, entre imaginaire et réalité. Des activités pédagogiques, des actions d'éducation permanentes, des publications mais aussi des expositions hors-les-murs y sont développées. Vous voulez vivre et revivre la légendaire Ducasse de Mons quand bon vous semble, alors n'hésitez plus un instant! Poussez donc les portes du Musée du Doudou! Adaptation pour le public non-voyant Les personnes mal voyantes désireuses de profiter d’un moment culturel adapté à leur handicap pourront visiter le musée. Grâce à une collaboration étroite avec Les Amis des Aveugles, des adaptations spécifiques ainsi que des guides muséaux seront réalisés en braille. Pour votre confort de visite, le dernier visiteur pourra accéder au Musée du Doudou à 17h15. La visite dure en moyenne 1h.     Prochaines dates du Doudou : 30 mai 2021 / 12 juin 2022 / 04 juin 2023.  Mons Card Partner: Accès gratuit.
Thanks Galerie;5 Rue des Telliers;7000;Mons;;;;http://thanksgalerie.be;info@thanksgallerie.be;Un lieu  Une galerie d’art contemporain dans un lieu original: la chapelle des Telliers, au coeur de Mons. Un espace dédié à l’art, où se croisent un coin détente avec un bar, des dégustations de vins, des rencontres avec les artistes et des évènements culturels. Une plateforme web  THANKSgalerie est la plateforme de crowdfunding belge dédiée à l’art. Les artistes déposent des projets sur la plateforme, les visiteurs soutiennent les projets en faisant des dons, et chaque donateur reçoit une contrepartie. Vous pourrez donc soutenir les artistes que vous aimez, c’est le mécenat contemporain !  Et aussi toute une série de services  Encadrement, restauration et conditionnement d’oeuvres, édition d’art, impression lithographique, vente de cimaises, organisation d’expositions,…
Silex's;300 Rue du Point du Jour;7032;Spiennes;3265335580;;;http://www.silexs.mons.be;polemuseal@ville.mons.be;L’actualité n’est pas à la fête, c’est un fait. Nous voilà contraints de fermer les portes de nos musées et expositions, parfois même avant qu’elles n’aient eu le temps d’ouvrir.    Mais la sécurité de tous reste bien entendu notre priorité. Nous gardons donc portes closes pour quelques temps. Vous pourrez compter sur notre équipe pour ponctuer vos journées de couleur, d'anecdotes, d'activités créatives... et continuer à vous offrir de belles expériences culturelles.   Toutes nos pensées vont bien entendu au personnel médical, ainsi qu’à toutes les personnes impactées de près ou de loin par cette crise sanitaire.    Pour toutes les demandes de remboursement, nous vous invitons à contacter visitMons via info.tourisme@ville.mons.be    Prenez soin de vous, et des autres.   A très bientôt !   Toute l'équipe Culture et Tourisme de la Ville de Mons     Reconnu par l’UNESCO en 2000, le site archéologique de Spiennes est l’un des plus anciens et des plus vastes centres d’extraction de silex d’Europe. Parsemé de milliers de puits de mines, le site s’étend sur 100 hectares, à 6 km de la Ville de Mons.     En creusant notamment des puits de mines allant jusqu’à 16 mètres de profondeur, l’homme du néolithique a mis en place les techniques nécessaires pour extraire de grandes dalles de silex pesant parfois plusieurs centaines de kilo. Il a également développé une spécialisation des techniques de taille aujourd’hui reconnue en tant que témoignage du génie humain.     Situé au cœur d’un écrin vert, le « SILEX'S », centre d’interprétation des minières néolithiques de silex de Spiennes permet de comprendre toutes les facettes de ce site archéologique à la réputation internationale. Balades didactiques en extérieur, visite de l’exposition semi-permanente, descente dans une véritable minière néolithique sont proposées aux visiteurs (sur réservation uniquement via visitMons : groupes@ville.mons.be).     Un projet cofinancé par l’union Européenne, la Région Wallonne/CGT et la Ville de Mons     Rencontre avec les archéologues au travail     Du mardi au vendredi, accédez gratuitement à l'espace de fouille de l'Agence Wallonne du Patrimoine (AWaP) et de la Société de Recherche Préhistorique en Hainaut (SRPH). Rencontrez une équipe de passionnés qui vous livreront leurs dernières découvertes extraordinaires dans les minières en cours de fouille.     Visites de la minière en sous-sol     Pour des raisons de conservation de la minière, reconnue par l'UNESCO, seules 5500 personnes peuvent descendre par an.     Il est donc indispensable de réserver la descente au préalable auprès de VisitMons au 065/40.53.48 (Grand'Place) ou à groupes@ville.mons.be. La descente s'effectue par une échelle verticale de 10m de haut. Un harnais anti-chute et un casque seront prévus pour chaque visiteur.     Durant la saison, chaque week-end, samedi et dimanche à 14h, descente possible pour les individuels. Durant les congés scolaires, descente également le jeudi et le vendredi. Réservation obligatoire (065/33.55.80 ou info.tourisme@ville.mons.be) Sous réserve de places disponibles. Max 12p.     Attention     La visite est interdite aux enfants de moins de 10 ans, aux personnes claustrophobes et présentant une faiblesse cardiaque ainsi qu’aux personnes sujettes au vertige et aux femmes enceintes. De plus, en sous-sol, la température n'est que de 12°C. Habillez-vous en conséquence (vêtements chauds, chaussures de marche et pantalon).     Le tarif pour descendre dans la minière est fixé à 8€/personne. Toutefois, le premier dimanche de chaque mois, le site du SILEX'S est accessible gratuitement.     Comment accéder au SILEX'S     Du parking situé à la Place de Spiennes, empruntez un parcours fléché pour rejoindre le SILEX'S (15 minutes à pied). Coordonnées GPS : 50.425435, 3.986929     Parking PMR (uniquement pour les personnes à mobilité réduite et les car/bus) - Ce parking se situe à proximité du site, rue du Point du Jour, n°300. Coordonnées GPS : 50.421535/3.979293 Un plan est mis à votre disposition à visitMons ou est téléchargeable sur www.silexs.mons.be     Mons Card Partner: Accès libre
Musée Saint-Remy;Gand-Place / Eglise Saint-Rémy;7033;Cuesmes;3265313649;;;http://www.mons.be;fgodart@skynet.be;Le musée de léglise Saint-Rémy, situé dans le triforium à létage de léglise vous présente une collection dune centaine de dobjets faisant partie du patrimoine de la paroisse.    Dans cette collection, vous découvrirez, notamment, des vêtements sacerdotaux, un christ polychrome du xVIe, des fonts baptismaux du XVIe, un ostensoir, un ciboire à couronne de Beghin, un missel de Plantin, un tabernacle pivotant, des chapes anciennes, des reliquaires, des statues du XVIIIè de Saint Sébastien et Saint-François de Salle, de nombreux objets de culte,...    Léglise Saint-Rémy, église darchitecture contemporaine a été inaugurée en 1996. Elle remplace léglise construite en 1850 qui sest effondrée en 1986. Des éléments de celle-ci ont été conservés et incorporés dans léglise moderne, manifestant ainsi la permanence du lien de la communauté paroissiale.   Ouvert uniquement pour les groupes et sur réservation.
Casemates et boulangerie militaire;Place Nervienne;7000;Mons;;;;;;"Sous le régime du royaume des Pays-Bas (1814-1830), la ville fut une dernière fois fortifiée. De cette ultime et vaste entreprise, il ne subsiste que les Casemates (magasin au fourrage au XXe siècle) de la place Nervienne et la boulangerie militaire voisine; constructions essentiellement en briques et qui ont eu un usage militaire jusque mai 1940.    Elles sont à présent occupées par diverses activités sportives ou culturelles.    Par ailleurs, le toit de l'ancienne boulangerie militaire a été transformé en 1998 en un jardin public et ludique, spécialement destiné aux enfants    Histoire du bâtiment :    Cet édifice militaire, construit en briques et en pierre bleue, a la forme d'un pentagone et constitue un des quatorze bastions des fortifications qui formaient l'enceinte de la ville de Mons.    Conçue par l'ingénieur Van De Polder, cette caserne militaire devait résister à l'épreuve des bombardements. Les voûtes de l'édifice ont 94 centimètres d'épaisseur. Les casemates sont constituées de douze gaines voûtées de 8,80 mètres d'ouverture sur une hauteur de 5,50 mètres. Les gaines voûtées ont une longueur qui varie de 30 à 50 mètres. La façade des Casemates, longue de 168 mètres est formée de 12 arcades monumentales.    La surface bâtie s'élève à 8500 m² environ.    La caserne devait permettre de loger 2000 hommes en cas de siège, suivant les dispositions réglementaires : 16 m³ d'air par homme, un mètre de largeur par lit et au moins deux mètres d'intervalle entre deux rangées de lits pour l'emplacement des tables et des bancs et pour la circulation des hommes.    Les casemates n'ont pas servi à cet usage puisque plus aucun siège de la ville n'eut lieu après sa construction. Depuis sa construction, la caserne a servi de magasin de fourrage, de dépôt de matériel militaire ; elle a abrité du matériel du ministère des Travaux publics, le Musée de la Route et le Service des Fouilles de la Région wallonne."
Caserne Major Sabbe, devenue Carré des Arts;Rue des Soeurs Noires;7000;Mons;;;;;;"Pendant la période du royaume des Pays-Bas, Mons fut dotée d'une caserne moderne (caserne Guillaume, construite en 1824-1827). Caserne des chasseurs à pied, elle fut dénommée ""Major Sabbe"" après la Première Guerre mondiale, et resta en activité jusqu'à la Seconde Guerre mondiale. Elle fut ensuite le siège de l'athénée Jean d'Avesnes. Depuis 1995, elle est vouée à l'enseignement artistique supérieur. La télévision communautaire, Télé Mons Borinage, y a également installé ses quartiers (en 2000). Chaque année, durant la première quinzaine du mois de juillet, s'y déroule le Festival au Carré, un événement culturel consacré aux créations dans les arts de la scène."
Eglise Sainte-Elisabeth;31 Rue de Nimy;7000;Mons;3265395939;;;;;L’église Sainte-Elisabeth se situe à deux pas de la Grand-Place de Mons, en face du Palais de Justice.    De simple chapelle à paroisse    Avant de devenir une église, Sainte-Elisabeth était une chapelle, située dans un ancien hôtel particulier. Cet hôtel avait été donné en 1345 par Isabeau d’Antoing, veuve de Gérard de Werchin, pour qu’il soit dédié à sa patronne. L’église actuelle ne sera construite qu’en 1516 et deviendra une paroisse importante de la vie montoise.    L’évolution et le style du bâtiment    Le bâtiment que vous pouvez admirez aujourd’hui a subi de nombreuses modifications, principalement à cause d’un incendie survenu lors de la célébration de l’Annonciation en 1714. Une mauvaise manipulation de la fusée évoquant le Saint-Esprit en serait à l’origine ! C’est le fameux architecte montois C.-J. de Bettignies qui s’occupa des travaux de restauration et qui dessina le campanile, réalisé en 1720. L’intérieur est donc une combinaison de parties gothiques datant d’avant l’incendie (les piliers, les nervures et une façade de l’église gothique) et de parties baroques plus récentes (partie haute de la nef et le chœur).    A ne pas manquer    Saviez-vous que la châsse et les lances de Saint Georges sont exposées dans l’église Sainte-Elisabeth ? Ces trésors sont utilisés chaque année pour la traditionnelle fête du Doudou ! Ne manquez pas non plus les orgues de 1778, ainsi que les cinq autels et retables néogothiques, qui ont la particularité d’avoir conservé leur polychromie d’origine.  		 Tous les jours de 9h00 à 18h00
Hôtel de Ville de Mons;22 Grand'Place;7000;Mons;3265395939;;;;info.tourisme@ville.mons.be;"De style gothique, l'Hôtel de Ville montois a été édifié entre 1458 et 1477. Il ne comprend qu’un seul étage et se distingue par un campanile ajouté en 1717-1718.    A l’intérieur, ses salles et salons valent le détour : la « Salle des Mariages » avec son plafond à l’Italienne (1682) ; la « Salle des Commissions » avec sa cheminée en marbre de Rance ; la « Salle des Sacquiaux » avec son âtre imposant du XVIe. Le « Salon des Portraits » et les « Grands Salons » sont également exceptionnels et remeublés d’époque. Dans l’autre aile, le Cabinet d’Apparat est l’une des parties les plus anciennes de l’édifice (XVe) mais sa décoration actuelle remonte à la fin du XIXe siècle. A l’arrière, le Jardin du Mayeur (aménagé entre 1930 et 1936) est un havre de paix arboré au cœur de la Cité. Vous y apercevrez la statue du « Ropieur » et, ressortant du site par la Grand-Place, vous ne manquerez pas l’œuvre de Gérard Garouste (2006) ainsi que le petit singe de Mons qui porte bonheur pour l'année si on lui caresse la tête de la main gauche.       Bon à savoir: le nom de ""Salle des Sacquiaux"" provient du patois local et signifie ""petits sacs en peau"". A l'origine, cette salle servait de salle des gardes et on y plaçait les clés de la ville dans des sacs en peau... des sacquiaux!       La visite des Salons de l'Hôtel de Ville se fait uniquement sur réservation écrite au préalable et sous la houlette d'un guide officiel."
